               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 148,            0.015076,            0.027117,                   0,             0.75069,               0.775,             0.83539,             0.63138,            0.017663,            0.018198,                   0,            0.010854,            0.010854,            0.010854
                 149,            0.015941,            0.026294,                   0,             0.66691,                0.85,             0.75147,             0.56623,            0.019071,            0.019436,                   0,            0.010846,            0.010846,            0.010846
                 150,            0.016541,            0.027682,                   0,             0.63151,              0.8625,             0.67826,             0.49096,            0.020363,            0.018147,                   0,            0.010838,            0.010838,            0.010838
                 151,            0.015338,            0.025795,                   0,             0.72265,              0.8375,             0.83377,             0.58295,            0.018272,            0.017859,                   0,             0.01083,             0.01083,             0.01083
                 152,            0.015557,            0.028105,                   0,             0.63433,              0.8375,              0.7076,             0.52131,            0.016715,            0.018121,                   0,            0.010822,            0.010822,            0.010822
                 153,            0.016601,            0.026701,                   0,             0.62029,               0.925,             0.65762,             0.45635,            0.017521,            0.018824,                   0,            0.010814,            0.010814,            0.010814
                 154,            0.015837,            0.025505,                   0,             0.64526,              0.8875,             0.64151,             0.42722,             0.01869,            0.019593,                   0,            0.010806,            0.010806,            0.010806
                 155,            0.016845,             0.02708,                   0,             0.65753,               0.875,             0.72137,             0.47343,            0.019888,            0.018584,                   0,            0.010798,            0.010798,            0.010798
                 156,            0.015892,            0.025949,                   0,             0.64367,             0.88064,             0.70623,             0.44904,            0.019855,            0.019909,                   0,             0.01079,             0.01079,             0.01079
                 157,            0.016594,            0.026422,                   0,              0.5751,             0.86285,             0.61838,             0.41438,            0.017466,             0.01948,                   0,            0.010782,            0.010782,            0.010782
                 158,            0.016533,            0.026122,                   0,             0.56195,              0.7625,             0.54307,             0.36258,            0.019538,            0.021906,                   0,            0.010774,            0.010774,            0.010774
